,City,City_id,Country,Lat,Lon,Sfc_temp_F,Sfc_press_mb,Rel_humidity_pct,Wind_speed_kts,Clouds_pct
0,Thompson,6165406,CA,55.74,-97.86,51.8,1005.0,93,14.99,90
1,Jamestown,2069194,AU,-33.21,138.6,38.35,1027.21,85,2.1,44
2,Praia da Vitoria,3372760,PT,38.73,-27.07,73.4,1022.0,73,3.67,75
3,Aconibe,2310547,GQ,1.29,10.94,68.23,1014.55,98,2.82,100
4,Rikitea,4030556,PF,-23.12,-134.97,68.77,1019.11,63,11.18,6
5,Busselton,2075265,AU,-33.64,115.35,40.95,1016.0,61,11.32,31
6,Bluff,2175403,AU,-23.58,149.07,57.43,1018.32,81,5.21,18
7,Acajutla,3587498,SV,13.59,-89.83,84.25,1010.94,65,4.79,0
8,Richards Bay,962367,ZA,-28.77,32.06,68.95,1018.14,83,5.97,0
9,Kavieng,2094342,PG,-2.57,150.8,83.35,1008.35,68,1.68,50
10,Punta Arenas,3874787,CL,-53.16,-70.91,42.53,985.0,70,24.16,0
11,Roald,3141667,NO,62.58,6.12,71.11,1015.0,53,11.41,0
12,Basco,4863349,US,40.33,-91.2,72.57,1008.0,94,5.82,90
13,Vaini,1273574,IN,15.34,74.49,75.97,1008.73,89,2.51,52
14,East London,1006984,ZA,-33.02,27.91,62.6,1022.0,77,13.87,40
15,Athens,264371,GR,37.98,23.73,84.85,1012.0,43,10.29,20
16,Chicama,3698359,PE,-7.84,-79.15,66.2,1013.0,72,9.17,75
17,Port-Gentil,2396518,GA,-0.72,8.78,78.8,1014.0,83,10.29,75
18,Iquitos,3696183,PE,-3.75,-73.25,42.8,1015.0,319,3.36,75
19,Yar-Sale,1486321,RU,66.83,70.83,39.25,1015.46,71,4.83,100
20,Bethel,5880568,US,60.79,-161.76,51.8,1020.0,87,3.36,90
21,Swan Hill,2147756,AU,-35.34,143.56,40.15,1024.98,94,6.53,6
22,Lorengau,2092164,PG,-2.02,147.27,78.13,1008.37,86,6.62,97
23,Kapaa,5848280,US,22.08,-159.32,78.37,1016.0,69,20.8,75
